character,id,name
Oswald Cobblepot/The Penguin,518,Danny DeVito
Selina Kyle/Catwoman,1160,Michelle Pfeiffer
Max Shreck,4690,Christopher Walken
Alfred,3796,Michael Gough
Commissioner James Gordon,3798,Pat Hingle
Mr. Cobblepot/ Penguin's Father,5129,Paul Reubens
Mayor,4776,Michael Murphy
Ice Princess,5130,Cristi Conaway
Mrs. Cobblepot/Penguin's Mother,5131,Diane Salinger
Bruce Wayne/Batman,2232,Michael Keaton
Organ Grinder,3418,Vincent Schiavelli
